Продажи	IQ	E	N
94.0	75	1	Профильное
102.0	104	1	Непрофильное
86.0	84	1	Профильное
78.0	88	0	Профильное
98.0	89	0	Непрофильное
80.0	88	1	Профильное
84.0	95	1	Непрофильное
92.0	91	1	Профильное
98.0	98	0	Профильное
92.0	98	1	Не профильное
92.0	106	0	Профильное
108.0	104	1	Непрофильное
70.0	102	0	Профильное   
80.0	91	1	Профильное
88.0	88	1	Не профильное
72.0	98	0	Профильное
78.0	91	0	Непрофильное
84.0	84	1	Профильное
88.0	97	1	Профильное
84.0	80	1	Не профильное
86.0	98	1	Профильное
98.0	95	1	Непрофильное
92.0	98	0	Профильное
104.0	100	1	Профильное
84.0	95	1	Непрофильное
70.0	102	0	Профильное
86.0	102	1	Непрофильное
84.0	98	1	Профильное
96.0	106	1	Профильное
104.0	97	0	Непрофильное
96.0	95	1	Профильное
92.0	95	1	Непрофильное
112.0	93	0	Профильное
62.0	88	0	Профильное
86.0	88	1	Непрофильное
110.0	104	1	Профильное
108.0	93	1	Непрофильное
84.0	95	1	Профильное
88.0	109	1	Профильное
96.0	95	0	Непрофильное
76.0	84	0	Профильное
72.0	91	0	Непрофильное
86.0	95	1	Профильное
100.0	93	1	Профильное
88.0	102	1	Непрофильное
94.0	102	1	Профильное
98.0	102	0	Непрофильное
96.0	104	1	Профильное
88.0	98	1	Профильное
80.0	97	1	Непрофильное
78.0	88	0	Профильное
86.0	88	1	Непрофильное
114.0	111	0	Профильное
102.0	109	1	Профильное
70.0	106	0	Непрофильное
68.0	98	0	Профильное
72.0	91	0	Непрофильное
54.0	84	0	Профильное
48.0	84	0	Профильное
58.0	91	0	Непрофильное
96.0	97	1	Профильное
84.0	102	1	Непрофильное
78.0	102	0	Профильное
108.0	97	1	Профильное
60.0	84	1	Непрофильное
98.0	97	1	Профильное
94.0	82	1	Непрофильное
70.0	91	0	Профильное
96.0	102	0	Профильное
104.0	106	0	Непрофильное
112.0	107	0	Профильное
84.0	95	1	Непрофильное
100.0	97	0	Профильное
106.0	100	0	Профильное
62.0	109	0	Непрофильное
96.0	104	1	Профильное
70.0	84	1	Непрофильное
94.0	102	1	Профильное
70.0	95	0	Профильное
60.0	76	1	Непрофильное
55.0	78	0	Профильное
